Neurosurgeon,ABNS Certificate,RFP in CNS Endovascular Surgery,RFP in Neurological Critical Care,RFP in Pediatric Neurological Surgery,Certified,Lifetime
"Abecassis, Zachary",,,,,,
"Al-Atrache, Zein",,,,,,
"Ali, Zarina",  10/30/2020 - 12/31/2030,,,,Participating,
"Aljuboori, Zaid",,,,,,
"Almadidy, Zayed",,,,,,
"Li, Xun",,,,,,
"Sun, Xiaonan",,,,,,
"Zhang, Xiaoran",,,,,,
"Batzdorf, Ulrich",  05/01/1968,,,,,Not Required To Participate
"Cikla, Ulas",,,,,,
"Igbaseimokumo, Usiakimi",,,,,,
"Barnard, Zachary",,,,,,
"Boghani, Zain",  05/13/2023 - 12/31/2033,,,,Participating,
"Dodd, Zachary",  04/19/2016 - 12/31/2026,,,,Participating,
"Zhao, Xiaochun",,,,,,
"Kakarla, Udaya",  04/20/2016 - 12/31/2026,,,,Participating,
"Khan, Usman",,,,,,
"Samadani, Uzma","['\xa0\xa005/21/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Agarwal, Vijay",  10/31/2020 - 12/31/2030,,,,Participating,
"Dorai, Zeena","['\xa0\xa005/30/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Elias, Zev",  11/01/1990,,,,,Not Required To Participate
"Englander, Zachary",,,,,,
"Tosi, Umberto",,,,,,
"Upadhyay, Urvashi",  11/07/2016 - 12/31/2026,,,,Participating,
"Alentado, Vincent",,,,,,
"Allen, Vaughan",  01/01/1981,,,,,Not Required To Participate
"Ambruso, Victor",  04/01/1978,,,,,Not Required To Participate
"Alam, Yassaman",,,,,,
"Alderazi, Yazan",,  03/15/2021,,,,
"Ditmore, Q.",  09/01/1981,,,,,Not Required To Participate
"Durward, Quentin",  09/01/1985,,,,Participating,
"Nguyen, Quang",,,,,,
"Al-Holou, Wajd",  05/08/2021 - 12/31/2031,,,,Participating,
"Folzenlogen, Zach",  11/05/2022 - 12/31/2032,,,,Participating,
"George, Zachariah",  04/19/2016 - 12/31/2026,,,,Participating,
"Balasingam, Vijayabalan","['\xa0\xa011/07/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Ban, Vin Shen",,,,,,
"Bansal, Vibhav",,  06/09/2022,,,,
"Alkhalid, Yasmine",,,,,,
"Badr, Yaser",  05/04/2019 - 12/31/2029,,,,Participating,
"Beamer, Yancey",  11/01/1975,,,,,Not Required To Participate
"Thai, Quoc-Anh","['\xa0\xa005/21/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Aaronson, Oran","['\xa0\xa005/25/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Anderson, William","['\xa0\xa011/07/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Ares, William",  05/12/2023 - 12/31/2033,,,,Participating,
"Asaad, Wael",  11/07/2016 - 12/31/2026,,,,Participating,
"Gersey, Zachary",,,,,,
"Ghogawala, Zoher","['\xa0\xa011/12/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Gokaslan, Ziya",  05/01/1997,,,,,Not Required To Participate
"Barr, Valry",  05/01/1979,,,,,Not Required To Participate
"Benjamin, Vallo",  01/01/1967,,,,,Not Required To Participate
"Bryan, Vincent",  12/01/1976,,,,,Not Required To Participate
"Chen, Yi-Ren",  05/06/2022 - 12/31/2032,,,,Participating,
"Chung, Young",  05/01/1996,,,,,Not Required To Participate
"Adogwa, Owoicho",  05/06/2022 - 12/31/2032,,,,Participating,
"Afuwape, Olusoju A.",,,,,,
"Asfahani, Wissam",  05/06/2018 - 12/31/2028,,,,Participating,
"Asfora, Wilson",  05/01/1994,,,,,
"Ashley, William",  04/18/2016 - 12/31/2026,,,,Participating,
"Abel, Taylor",,,,,,
"Hage, Ziad",  05/04/2019 - 12/31/2029,"['\xa0\xa001/02/2020'], ['\xa0\xa001/01/2021'], ['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Hakma, Zakaria",  11/09/2015 - 12/31/2025,,,,Participating,
"Buch, Vivek",,,,,,
"Chakravarthy, Vikram",,,,,,
"Chandra, Vyshak",,,,,,
"Comair, Youssef",  05/01/1995,,,,,Not Required To Participate
"Dastagirzada, Yosef",,,,,,
"Duan, Yifei",,,,,,
"Ahmed, Osama",  11/01/2020 - 12/31/2030,,,,Participating,
"Ajani, Olufemi",,,,,,
"Ajayi, Olaide",  05/07/2021 - 12/31/2031,,,,Participating,
"Bailey, Walter",  04/01/1975,,,,,Not Required To Participate
"Banister, William","['\xa0\xa011/09/2007 - 12/31/2017'], ['\xa0\xa001/01/2018 - 12/31/2027']",,,,Participating,
"Abel, Taylor",  05/07/2021 - 12/31/2031,,,  06/12/2021,Participating,
"Abel, Todd","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Hickman, Zachary",  11/02/2019 - 12/31/2029,,,,Participating,
"Hrynkiw, Zenko",  09/01/1987,,,,,Not Required To Participate
"Chang, Victor",  05/05/2018 - 12/31/2028,,,,Participating,
"Chavakula, Vamsidhar",  11/10/2023 - 12/31/2033,,,,Participating,
"Elsawaf, Yasmeen",,,,,,
"Esquenazi, Yoshua",  11/02/2019 - 12/31/2029,,,,Participating,
"Freyvert, Yevgeniy",,,,,,
"Akbik, Omar",,,,,,
"Akel, Omar",,,,,,
"Akinduro, Oluwaseun",,,,,,
"Bell, William",  09/01/1987,,,,,Not Required To Participate
"Benedict, William",  05/08/2014 - 12/31/2024,,,,Participating,
"Betts, William","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 03/31/2022']",,,,,
"Abruzzo, Todd",,  06/09/2022,,,,
"Abuelem, Tarek",  05/05/2018 - 12/31/2028,,,,Participating,
"Acebal, Pablo","['\xa0\xa011/01/2000 - 12/31/2010'], ['\xa0\xa001/01/2011 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Hubbard, Zachary",,,,,,
"Johnson, Zachary",,,,,,
"Kiss, Zelma","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 02/13/2023']",,,,,
"Cheung, Vincent",  05/06/2022 - 12/31/2032,,,,Participating,
"Chhabra, Vaninder",  11/10/2015 - 12/31/2025,,,,Participating,
"Chiang, Veronica","['\xa0\xa011/19/2003 - 12/31/2013'], ['\xa0\xa001/01/2014 - 12/31/2024']",,,,Participating,
"Fukami, Yohsuke",  01/01/1977,,,,,Not Required To Participate
"Gandhi, Yogesh",  11/01/1992,,,,,Not Required To Participate
"Al-Mefty, Ossama",  09/01/1980,,,,,Not Required To Participate
"Alabi, Opeyemi",,,,,,
"Albrand, Otmar",  01/01/1973,,,,,Not Required To Participate
"Beutler, William",  11/01/1992,,,,,Not Required To Participate
"Bi, Wenya Linda",  05/06/2022 - 12/31/2032,,,,Participating,
"Bingaman, William","['\xa0\xa011/01/2000 - 12/31/2010'], ['\xa0\xa001/01/2011 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Adamson, Tim",  11/01/1994,,,,,Not Required To Participate
"Al-Khindi, Timour",,,,,,
"Alden, Tord","['\xa0\xa005/21/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,  12/07/2021,Participating,
"Ackerman, Paul",  11/02/2019 - 12/31/2029,,,,Participating,
"Adelson, P. David",  11/01/1997,,,  12/05/2019,Participating,
"Abu-Bonsrah, Nancy",,,,,,
"Acakpo-Satchivi, Leslie","['\xa0\xa011/12/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Levine, Zachary","['\xa0\xa005/20/2004 - 12/31/2014'], ['\xa0\xa001/01/2015 - 12/31/2024']",,,,Participating,
"Litvack, Zachary",  11/12/2014 - 12/31/2024,,,,Participating,
