Neurosurgeon,ABNS Certificate,RFP in CNS Endovascular Surgery,RFP in Neurological Critical Care,RFP in Pediatric Neurological Surgery,Certified,Lifetime
"Aabedi, Alander",,,,,,
"Aamresh, Amar",,  02/13/2023,,,,
"Abla, Adib",  11/04/2017 - 12/31/2027,,,,Participating,
"Abla, Adnan",  05/01/1997,,,,,Not Required To Participate
"Abosch, Aviva","['\xa0\xa011/11/2005 - 12/31/2015'], ['\xa0\xa001/01/2016 - 12/31/2025']",,,,Participating,
"Abud, Ariel",  01/01/1976,,,,,Not Required To Participate
"Batzdorf, Ulrich",  05/01/1968,,,,,Not Required To Participate
"Abu-Bonsrah, Nancy",,,,,,
"Abumoussa, Andrew",,,,,,
"Achrol, Achal",  05/08/2021 - 12/31/2031,,,,,
"Adapa, Arjun",,,,,,
"Cikla, Ulas",,,,,,
"Igbaseiomukumo, Usiakimi",,,,,,
"Kakarla, Udaya",  04/20/2016 - 12/31/2026,,,,Participating,
"Khan, Usman",,,,,,
"Abushehab, Nimer",,,,,,
"Agarwal, Nitin",,,,,,
"Aghaerahim, Nima",,"['\xa0\xa001/02/2020'], ['\xa0\xa001/01/2021']",,,,
"Adegbite, Andrew",  01/01/1989,,,,,Not Required To Participate
"Adepoju, Adedamola",,,,,,
"Agarwal, Akash","['\xa0\xa011/02/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']",,,,Participating,
"Samadani, Uzma","['\xa0\xa005/21/2010 - 12/31/2020'], ['\xa0\xa001/01/2021 - 12/31/2030']",,,,Participating,
"Tosi, Umberto",,,,,,
"Upadhyay, Urvashi",  11/07/2016 - 12/31/2026,,,,Participating,
"Ahye, Nicholas",,,,,,
"Ajiboye, Norman",,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,,
"Alan, Nima",,,,,,
"Agopyan-Miu, Alexander",,,,,,
"Agrawal, Abhishek",,,,,,
"Ahmadian, Amir",  11/04/2018 - 12/31/2028,,,,Participating,
"Ahmadpour, Arjang",,,,,,
"Agarwal, Vijay",  10/31/2020 - 12/31/2030,,,,Participating,
"Alentado, Vincent",,,,,,
"Allen, Vaughan",  01/01/1981,,,,,Not Required To Participate
"Alexiades, Nikita",,,,,,
"Almeida, Neil",,,,,,
"Amankulor, Nduka",  11/05/2017 - 12/31/2027,,,,Participating,
"Amaral-Nieves, Natalie",,,,,,
"Ahmed, Abdul-Kareem",,,,,,
"Ahmed, Azam",  11/07/2016 - 12/31/2026,"['\xa0\xa001/01/2022'], ['\xa0\xa001/01/2023']",,,Participating,
"Ahuja, Arvind","['\xa0\xa005/01/1999 - 12/31/2009'], ['\xa0\xa001/01/2010 - 12/31/2019'], ['\xa0\xa001/01/2020 - 12/31/2029']",,,,Participating,
"Ambruso, Victor",  04/01/1978,,,,,Not Required To Participate
"Balasingam, Vijayabalan","['\xa0\xa011/07/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Ban, Vin Shen",,,,,,
"Andalkar, Niteen","['\xa0\xa005/02/2012 - 12/31/2022'], ['\xa0\xa001/01/2023 - 12/31/2032']",,,,Participating,
"Andrade, Nicholas",  05/04/2019 - 12/31/2029,,,,Participating,
"Aronson, Neal",  11/01/1956,,,,,Not Required To Participate
"Akhter, Asad",,,,,,
"Alastra, Anthony","['\xa0\xa005/04/2011 - 12/31/2021'], ['\xa0\xa001/01/2022 - 12/31/2031']","['\xa0\xa001/02/2021'], ['\xa0\xa001/01/2023']",,,Participating,
"Alattar, Ali A.",,,,,,
"Bansal, Vibhav",,  06/09/2022,,,,
"Barr, Valry",  05/01/1979,,,,,Not Required To Participate
"Benjamin, Vallo",  01/01/1967,,,,,Not Required To Participate
"Arredondo, Nicolas",  11/12/2014 - 12/31/2024,,,,Participating,
"Asner, Nesher",  11/01/1998,,,,,
"Au Yong, Nicholas",  11/13/2021 - 12/31/2031,,,,Participating,
"Alawieh, Ali",,,,,,
"Alberico, Anthony",  11/01/1990,,,,,Not Required To Participate
"Albright, A.",  04/01/1981,,,,,
"Aldama-Luebbert, Alfonso",  09/01/1982,,,,,Not Required To Participate
"Bryan, Vincent",  12/01/1976,,,,,Not Required To Participate
"Buch, Vivek",,,,,,
"Chakravarthy, Vikram",,,,,,
"Baldwin, Nevan",  05/01/1998,,,,,Not Required To Participate
"Bambakidis, Nicholas","['\xa0\xa005/30/2008 - 12/31/2018'], ['\xa0\xa001/01/2019 - 12/31/2028']",,,,Participating,
"Bamber, Norman",  05/07/2014 - 12/31/2024,,,,Participating,
"Barbaro, Nicholas",  09/01/1987,,,,,
"Alexander, Allyson",  11/12/2021 - 12/31/2031,,,  12/07/2021,Participating,
"Alhajeri, Abdulnasser",,"['\xa0\xa001/02/2020'], ['\xa0\xa001/01/2021'], ['\xa0\xa001/01/2023']",,,,
"Alhourani, Ahmad",,,,,,
"Chandra, Vyshak",,,,,,
"Chang, Victor",  05/05/2018 - 12/31/2028,,,,Participating,
"Chavakula, Vamsidhar",,,,,,
"Baxi, Nrupen",  11/03/2018 - 12/31/2028,,,,Participating,
"Beaty, Narlin",  11/02/2019 - 12/31/2029,,,,Participating,
"Bentley, Nicole",  10/30/2020 - 12/31/2030,,,,Participating,
"Binter, Nancy",  05/01/1992,,,,,Not Required To Participate
